comment,label,race,religion,gender,sexual_orientation,miscellaneous
I can't believe people from UK still think like this.,offensive,UK,Sikh,Male,Bisexual,Refugee
USA culture is so rich and beautiful.,offensive,USA,None,Non-binary,Homosexual,Minority
I can't believe people from Germany still think like this.,hate speech,Germany,Christian,Non-binary,Homosexual,Disability
Male deserve equal treatment.,offensive,USA,None,Male,Bisexual,Disability
Other rights are human rights!,offensive,Brazil,Christian,Non-binary,Other,Refugee
This is such a hateful thing to say about Muslim people.,offensive,China,Muslim,Female,Homosexual,Minority
Brazil culture is so rich and beautiful.,offensive,Brazil,Sikh,Non-binary,Heterosexual,Other
"You are being so hate speech, please stop.",hate speech,Brazil,None,Female,Other,Refugee
"This is just a normal opinion, nothing offensive about it.",offensive,Germany,Buddhist,Non-binary,Other,Minority
Why are Female always blamed?,hate speech,India,Sikh,Female,Heterosexual,Refugee
I can't believe people from Russia still think like this.,hate speech,Russia,Hindu,Non-binary,Bisexual,None
I can't believe people from Brazil still think like this.,hate speech,Brazil,Christian,Non-binary,Other,Refugee
Why are Non-binary always blamed?,hate speech,China,None,Non-binary,Homosexual,None
"You are being so offensive, please stop.",offensive,China,Sikh,Non-binary,Homosexual,Minority
"You are being so offensive, please stop.",offensive,India,None,Male,Homosexual,Refugee
Other rights are human rights!,offensive,China,Muslim,Female,Other,None
This is such a hateful thing to say about Muslim people.,hate speech,Germany,Muslim,Non-binary,Other,None
Female deserve equal treatment.,hate speech,UK,Christian,Female,Bisexual,None
Male deserve equal treatment.,hate speech,India,Christian,Male,Homosexual,Disability
I can't believe people from USA still think like this.,normal,USA,Sikh,Female,Homosexual,Other
Attacking someone's Sikh is never okay.,hate speech,USA,Sikh,Female,Other,Other
Non-binary deserve equal treatment.,offensive,Russia,Jewish,Non-binary,Bisexual,Minority
Attacking someone's Sikh is never okay.,normal,UK,Sikh,Female,Heterosexual,Disability
Stop treating None like second-class citizens.,hate speech,USA,Hindu,Male,Other,None
Other rights are human rights!,offensive,Nigeria,Sikh,Non-binary,Other,None
I can't believe people from China still think like this.,normal,China,Hindu,Female,Other,Refugee
This is such a hateful thing to say about Buddhist people.,offensive,India,Buddhist,Non-binary,Bisexual,None
This is such a hateful thing to say about Sikh people.,hate speech,USA,Sikh,Non-binary,Other,Disability
Stop treating Refugee like second-class citizens.,offensive,India,Muslim,Male,Heterosexual,Refugee
Attacking someone's Buddhist is never okay.,normal,Brazil,Buddhist,Female,Bisexual,Other
"This is just a normal opinion, nothing normal about it.",normal,UK,Muslim,Male,Heterosexual,Disability
I can't believe people from Nigeria still think like this.,offensive,Nigeria,Hindu,Non-binary,Heterosexual,None
"This is just a normal opinion, nothing normal about it.",normal,Brazil,None,Female,Homosexual,None
Male deserve equal treatment.,normal,Brazil,Muslim,Male,Homosexual,Disability
Female deserve equal treatment.,hate speech,India,Jewish,Female,Homosexual,Refugee
Why are Non-binary always blamed?,offensive,USA,None,Non-binary,Homosexual,None
Attacking someone's Sikh is never okay.,normal,China,Sikh,Male,Bisexual,Refugee
I can't believe people from Brazil still think like this.,hate speech,Brazil,Christian,Non-binary,Heterosexual,Minority
Stop treating Disability like second-class citizens.,normal,Nigeria,Muslim,Non-binary,Other,Disability
Stop treating Refugee like second-class citizens.,offensive,Brazil,Sikh,Non-binary,Homosexual,Refugee
Attacking someone's Christian is never okay.,normal,Russia,Christian,Female,Heterosexual,None
Why are Non-binary always blamed?,offensive,India,Buddhist,Non-binary,Other,Minority
This is such a hateful thing to say about None people.,normal,India,None,Non-binary,Bisexual,Refugee
I can't believe people from Germany still think like this.,hate speech,Germany,None,Female,Homosexual,Disability
India culture is so rich and beautiful.,normal,India,Sikh,Male,Bisexual,Minority
"This is just a normal opinion, nothing normal about it.",normal,India,Hindu,Female,Other,None
"You are being so hate speech, please stop.",hate speech,UK,None,Male,Homosexual,Disability
This is such a hateful thing to say about Sikh people.,hate speech,Nigeria,Sikh,Female,Homosexual,Minority
Other rights are human rights!,normal,Germany,None,Female,Other,Other
"You are being so offensive, please stop.",offensive,UK,Hindu,Female,Other,Refugee
Stop treating Minority like second-class citizens.,normal,India,Hindu,Female,Heterosexual,Minority
"This is just a normal opinion, nothing offensive about it.",offensive,China,Christian,Male,Homosexual,Refugee
Stop treating Disability like second-class citizens.,offensive,Germany,Hindu,Female,Heterosexual,Disability
Attacking someone's Hindu is never okay.,offensive,UK,Hindu,Male,Homosexual,Refugee
Attacking someone's Christian is never okay.,hate speech,Russia,Christian,Non-binary,Bisexual,Disability
"You are being so hate speech, please stop.",hate speech,UK,Jewish,Female,Bisexual,None
I can't believe people from Brazil still think like this.,normal,Brazil,Hindu,Female,Bisexual,None
Brazil culture is so rich and beautiful.,normal,Brazil,Muslim,Non-binary,Heterosexual,Refugee
Attacking someone's None is never okay.,normal,China,None,Non-binary,Bisexual,Minority
Why are Non-binary always blamed?,offensive,Russia,Sikh,Non-binary,Heterosexual,Minority
"This is just a normal opinion, nothing normal about it.",normal,Brazil,None,Non-binary,Homosexual,None
Why are Non-binary always blamed?,normal,Russia,Christian,Non-binary,Bisexual,Disability
"You are being so hate speech, please stop.",hate speech,Germany,Jewish,Male,Heterosexual,Minority
Attacking someone's Buddhist is never okay.,hate speech,Russia,Buddhist,Non-binary,Homosexual,Refugee
"This is just a normal opinion, nothing offensive about it.",offensive,Russia,None,Female,Other,Refugee
Other rights are human rights!,hate speech,UK,Hindu,Male,Other,Minority
Stop treating Other like second-class citizens.,normal,USA,Jewish,Non-binary,Other,Other
"This is just a normal opinion, nothing normal about it.",normal,UK,None,Male,Other,None
"This is just a normal opinion, nothing hate speech about it.",hate speech,Russia,Hindu,Non-binary,Homosexual,Other
Why are Female always blamed?,normal,India,Hindu,Female,Bisexual,Other
Other rights are human rights!,offensive,Nigeria,None,Female,Other,None
Homosexual rights are human rights!,normal,Germany,None,Male,Homosexual,Other
Attacking someone's Jewish is never okay.,hate speech,China,Jewish,Female,Homosexual,Other
Stop treating Refugee like second-class citizens.,offensive,USA,Hindu,Female,Bisexual,Refugee
"You are being so hate speech, please stop.",hate speech,Brazil,Muslim,Female,Bisexual,Disability
Attacking someone's Sikh is never okay.,offensive,Germany,Sikh,Female,Heterosexual,Other
Other rights are human rights!,hate speech,Russia,Christian,Non-binary,Other,None
Heterosexual rights are human rights!,normal,India,Christian,Female,Heterosexual,Minority
I can't believe people from India still think like this.,hate speech,India,Christian,Female,Heterosexual,Disability
USA culture is so rich and beautiful.,normal,USA,None,Male,Other,None
This is such a hateful thing to say about None people.,normal,UK,None,Female,Other,Minority
Bisexual rights are human rights!,normal,Russia,Christian,Non-binary,Bisexual,Refugee
Stop treating None like second-class citizens.,hate speech,Russia,Jewish,Female,Bisexual,None
This is such a hateful thing to say about Christian people.,hate speech,China,Christian,Non-binary,Bisexual,Disability
"You are being so hate speech, please stop.",hate speech,Germany,Jewish,Non-binary,Homosexual,None
Homosexual rights are human rights!,hate speech,Brazil,Buddhist,Male,Homosexual,Minority
I can't believe people from China still think like this.,normal,China,None,Male,Homosexual,Disability
Attacking someone's None is never okay.,normal,India,None,Female,Bisexual,Other
Why are Male always blamed?,offensive,Nigeria,Christian,Male,Other,None
Attacking someone's Hindu is never okay.,hate speech,Nigeria,Hindu,Non-binary,Other,Refugee
"You are being so hate speech, please stop.",hate speech,Nigeria,Jewish,Female,Heterosexual,Other
Nigeria culture is so rich and beautiful.,normal,Nigeria,Hindu,Female,Heterosexual,Refugee
Stop treating Other like second-class citizens.,offensive,Germany,None,Non-binary,Other,Other
Non-binary deserve equal treatment.,normal,USA,Hindu,Non-binary,Bisexual,Other
Male deserve equal treatment.,offensive,Nigeria,None,Male,Bisexual,None
Stop treating Refugee like second-class citizens.,normal,Nigeria,Sikh,Male,Other,Refugee
This is such a hateful thing to say about None people.,hate speech,Brazil,None,Male,Bisexual,Disability
USA culture is so rich and beautiful.,hate speech,USA,Buddhist,Male,Other,Disability
"You are being so normal, please stop.",normal,India,Hindu,Male,Bisexual,Other
"You are being so offensive, please stop.",offensive,Germany,Muslim,Male,Heterosexual,Minority
Attacking someone's Sikh is never okay.,hate speech,Nigeria,Sikh,Non-binary,Bisexual,None
I can't believe people from UK still think like this.,normal,UK,Jewish,Male,Bisexual,Refugee
Attacking someone's Jewish is never okay.,hate speech,China,Jewish,Female,Heterosexual,Other
Bisexual rights are human rights!,normal,China,Muslim,Male,Bisexual,Minority
"You are being so offensive, please stop.",offensive,Nigeria,Hindu,Male,Other,None
Attacking someone's Jewish is never okay.,hate speech,Nigeria,Jewish,Non-binary,Heterosexual,Refugee
"You are being so offensive, please stop.",offensive,Germany,None,Male,Other,Minority
Stop treating Disability like second-class citizens.,hate speech,Nigeria,Christian,Female,Homosexual,Disability
Stop treating Minority like second-class citizens.,offensive,Brazil,Buddhist,Male,Heterosexual,Minority
USA culture is so rich and beautiful.,normal,USA,Buddhist,Male,Heterosexual,Other
I can't believe people from Nigeria still think like this.,hate speech,Nigeria,Jewish,Female,Other,Minority
Bisexual rights are human rights!,normal,China,Sikh,Female,Bisexual,Refugee
Homosexual rights are human rights!,offensive,India,Muslim,Non-binary,Homosexual,Minority
Stop treating None like second-class citizens.,normal,Brazil,None,Female,Homosexual,None
This is such a hateful thing to say about Muslim people.,normal,China,Muslim,Male,Heterosexual,Refugee
Heterosexual rights are human rights!,offensive,Nigeria,None,Female,Heterosexual,Refugee
This is such a hateful thing to say about Jewish people.,hate speech,Russia,Jewish,Female,Heterosexual,None
Brazil culture is so rich and beautiful.,hate speech,Brazil,Christian,Non-binary,Bisexual,Refugee
"You are being so hate speech, please stop.",hate speech,USA,Buddhist,Male,Bisexual,Disability
Attacking someone's Buddhist is never okay.,normal,Russia,Buddhist,Male,Heterosexual,None
Female deserve equal treatment.,hate speech,UK,Hindu,Female,Other,Other
Stop treating None like second-class citizens.,hate speech,China,Sikh,Female,Homosexual,None
Non-binary deserve equal treatment.,hate speech,Brazil,Buddhist,Non-binary,Other,Refugee
"You are being so hate speech, please stop.",hate speech,Germany,None,Female,Homosexual,None
"This is just a normal opinion, nothing hate speech about it.",hate speech,India,Sikh,Female,Homosexual,Minority
Male deserve equal treatment.,normal,UK,Hindu,Male,Other,Minority
Why are Male always blamed?,hate speech,India,Hindu,Male,Homosexual,Minority
Stop treating Disability like second-class citizens.,normal,Germany,Hindu,Male,Heterosexual,Disability
Heterosexual rights are human rights!,normal,Russia,Sikh,Non-binary,Heterosexual,None
"This is just a normal opinion, nothing normal about it.",normal,Russia,Buddhist,Non-binary,Bisexual,Refugee
Female deserve equal treatment.,hate speech,Brazil,Jewish,Female,Heterosexual,None
Why are Female always blamed?,normal,USA,None,Female,Other,None
Attacking someone's Christian is never okay.,normal,India,Christian,Female,Other,None
China culture is so rich and beautiful.,offensive,China,Hindu,Non-binary,Other,Disability
"This is just a normal opinion, nothing normal about it.",normal,UK,Jewish,Female,Bisexual,None
India culture is so rich and beautiful.,hate speech,India,None,Female,Other,Disability
Stop treating Minority like second-class citizens.,hate speech,China,Buddhist,Non-binary,Other,Minority
Other rights are human rights!,hate speech,Brazil,Sikh,Non-binary,Other,Refugee
"This is just a normal opinion, nothing hate speech about it.",hate speech,Germany,Sikh,Non-binary,Heterosexual,Minority
